epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5424.84,0.56834,0.47866,1.11368,0.9368,0.88561,0.90872,0.82223,0.49035,0.39249,1.11445,0.0011882,0.0011882,0.0011882
43,5553.2,0.55736,0.46386,1.11059,0.92633,0.87855,0.90477,0.8169,0.50696,0.39596,1.14336,0.0011684,0.0011684,0.0011684
44,5681.74,0.56704,0.47774,1.11357,0.93148,0.89201,0.9086,0.82157,0.48638,0.40092,1.11393,0.0011486,0.0011486,0.0011486
45,5809.41,0.55984,0.46873,1.10536,0.93427,0.89097,0.90881,0.82399,0.47335,0.38801,1.1063,0.0011288,0.0011288,0.0011288
46,5935.43,0.55752,0.47247,1.10788,0.93178,0.89716,0.91714,0.82393,0.49056,0.38299,1.12599,0.001109,0.001109,0.001109
47,6062.68,0.54816,0.46259,1.10269,0.93975,0.89128,0.91589,0.83209,0.47431,0.37406,1.09413,0.0010892,0.0010892,0.0010892
48,6189.53,0.55144,0.45438,1.10239,0.93447,0.89383,0.91113,0.83035,0.46266,0.3804,1.09035,0.0010694,0.0010694,0.0010694
49,6315.1,0.54319,0.45137,1.09609,0.93088,0.89691,0.91058,0.83433,0.46996,0.37711,1.106,0.0010496,0.0010496,0.0010496
50,6440.52,0.55478,0.45857,1.10535,0.92701,0.89557,0.91158,0.83662,0.47078,0.38099,1.09532,0.0010298,0.0010298,0.0010298
51,6567.26,0.53608,0.44037,1.09166,0.92207,0.9001,0.91296,0.83396,0.46773,0.37776,1.10367,0.00101,0.00101,0.00101
52,6693.7,0.5404,0.45416,1.09985,0.93144,0.8903,0.91486,0.83737,0.4634,0.3832,1.10424,0.0009902,0.0009902,0.0009902
53,6819.23,0.5284,0.43635,1.08986,0.93164,0.89429,0.90748,0.83117,0.46803,0.38041,1.1023,0.0009704,0.0009704,0.0009704
